Sales ID,Count,Open Date,Days to Make Sale,Car ID,Dealer ID,Temperature (F),Temperature Category,Weather Condition,Humidity (%),Wind Speed (mph),Wind Gust (mph),Wind Direction,Visibility (mi),Wind Chill (F),Precipitation (in),Fog (Y/N),Rain (Y/N),Snow (Y/N),Month,Month Order,Year
546494,1,1-Jan-2022,4,99110,1336,32,31-40,Scattered Clouds,34,16.1,24.2,SW,10,21.2,0,N,N,N,Jan,1,2022
546495,1,1-Jan-2022,1,147160,1401,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546496,1,1-Jan-2022,1,99110,1401,33.1,31-40,Overcast,32,13.8,,WSW,10,23.4,0,N,N,N,Jan,1,2022
546497,1,1-Jan-2022,13,87110,1217,30,21-30,Clear,35,15,21.9,WSW,7,19.1,0,N,N,N,Jan,1,2022
546498,1,1-Jan-2022,7,99110,1224,30,21-30,Clear,35,15,21.9,WSW,7,19.1,0,N,N,N,Jan,1,2022
546499,1,1-Jan-2022,1,99110,1336,33.1,31-40,Overcast,32,13.8,,WSW,10,23.4,0,N,N,N,Jan,1,2022
546500,1,1-Jan-2022,1,99110,1336,33.1,31-40,Overcast,32,13.8,,WSW,10,23.4,0,N,N,N,Jan,1,2022
546501,1,1-Jan-2022,1,132120,1288,30,21-30,Clear,35,15,21.9,WSW,7,19.1,0,N,N,N,Jan,1,2022
546502,1,1-Jan-2022,5,99110,1301,33.1,31-40,Overcast,34,16.1,20.7,SSW,10,22.6,0,N,N,N,Jan,1,2022
546503,1,1-Jan-2022,1,99110,1402,33.1,31-40,Overcast,34,16.1,20.7,SSW,10,22.6,0,N,N,N,Jan,1,2022
546504,1,1-Jan-2022,7,99110,1336,33.1,31-40,Overcast,34,16.1,20.7,SSW,10,22.6,0,N,N,N,Jan,1,2022
546505,1,1-Jan-2022,1,99110,1288,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546506,1,1-Jan-2022,5,99110,1288,28,21-30,Clear,39,16.1,23,SW,7,16.1,0,N,N,N,Jan,1,2022
546507,1,1-Jan-2022,5,99110,1301,30.9,31-40,Overcast,37,12.7,,SSW,10,21.2,0,N,N,N,Jan,1,2022
546508,1,1-Jan-2022,1,147160,1288,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546509,1,1-Jan-2022,4,99110,1402,30,21-30,Scattered Clouds,41,16.1,,SW,10,18.7,0,N,N,N,Jan,1,2022
546510,1,1-Jan-2022,1,26151,1301,27,21-30,Clear,45,16.1,23,SW,7,14.7,0,N,N,N,Jan,1,2022
546511,1,1-Jan-2022,1,99110,1217,27,21-30,Clear,45,16.1,23,SW,7,14.7,0,N,N,N,Jan,1,2022
546512,1,1-Jan-2022,1,132120,1288,27,21-30,Clear,47,17.3,25.3,SSW,7,14.3,0,N,N,N,Jan,1,2022
546513,1,1-Jan-2022,1,132120,1215,30,21-30,Scattered Clouds,41,12.7,,SW,10,20,0,N,N,N,Jan,1,2022
546514,1,1-Jan-2022,7,99110,1288,27,21-30,Clear,47,17.3,25.3,SSW,7,14.3,0,N,N,N,Jan,1,2022
546515,1,1-Jan-2022,1,99110,1401,30,21-30,Scattered Clouds,41,12.7,,SW,10,20,0,N,N,N,Jan,1,2022
546516,1,1-Jan-2022,4,99110,1401,30,21-30,Scattered Clouds,47,11.5,,SW,10,20.5,0,N,N,N,Jan,1,2022
546517,1,1-Jan-2022,1,132120,1224,28.9,21-30,Clear,56,18.4,,SW,7,16.5,0,N,N,N,Jan,1,2022
546518,1,2-Jan-2022,3,147160,1401,34,31-40,Overcast,46,12.7,,SW,10,25,0,N,N,N,Jan,1,2022
546519,1,2-Jan-2022,5,99110,1402,34,31-40,Scattered Clouds,48,15,,SW,10,24.2,0,N,N,N,Jan,1,2022
546520,1,2-Jan-2022,1,99110,1336,34,31-40,Scattered Clouds,48,15,,SW,10,24.2,0,N,N,N,Jan,1,2022
546521,1,2-Jan-2022,4,99110,1336,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546522,1,2-Jan-2022,3,99110,1336,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546523,1,2-Jan-2022,1,99110,1336,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546524,1,2-Jan-2022,1,99110,1224,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546525,1,2-Jan-2022,1,99110,1215,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546526,1,2-Jan-2022,1,99110,1215,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546527,1,2-Jan-2022,1,99110,1336,33.1,31-40,Scattered Clouds,50,11.5,,SW,10,24.4,0,N,N,N,Jan,1,2022
546528,1,2-Jan-2022,6,99110,1288,33.1,31-40,Clear,50,10.4,18.4,WSW,7,24.9,0,N,N,N,Jan,1,2022
546529,1,2-Jan-2022,3,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546530,1,2-Jan-2022,4,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546531,1,2-Jan-2022,1,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546532,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546533,1,2-Jan-2022,1,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546534,1,2-Jan-2022,1,99110,1288,33.1,31-40,Clear,50,10.4,18.4,WSW,7,24.9,0,N,N,N,Jan,1,2022
546535,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546536,1,2-Jan-2022,4,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546537,1,2-Jan-2022,4,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546538,1,2-Jan-2022,1,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546539,1,2-Jan-2022,1,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546540,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546541,1,2-Jan-2022,3,99110,1212,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546542,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546543,1,2-Jan-2022,1,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546544,1,2-Jan-2022,3,99110,1402,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546545,1,2-Jan-2022,1,99110,1402,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546546,1,2-Jan-2022,1,26151,1224,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546547,1,2-Jan-2022,12,87110,1217,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546548,1,2-Jan-2022,4,99110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546549,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546550,1,2-Jan-2022,1,87110,1336,36,31-40,Partly Cloudy,46,11.5,,SW,10,28,0,N,N,N,Jan,1,2022
546551,1,2-Jan-2022,1,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546552,1,2-Jan-2022,1,99110,1402,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546553,1,2-Jan-2022,3,99110,1288,35.1,31-40,Clear,46,13.8,23,West,7,25.9,0,N,N,N,Jan,1,2022
546554,1,2-Jan-2022,4,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546555,1,2-Jan-2022,5,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546556,1,2-Jan-2022,1,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546557,1,2-Jan-2022,1,26151,1224,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546558,1,2-Jan-2022,12,87110,1224,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546559,1,2-Jan-2022,1,99110,1402,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546560,1,2-Jan-2022,3,132120,1402,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546561,1,2-Jan-2022,1,99110,1402,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546562,1,2-Jan-2022,1,99110,1402,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546563,1,2-Jan-2022,1,99110,1224,35.1,31-40,Clear,46,13.8,23,West,7,25.9,0,N,N,N,Jan,1,2022
546564,1,2-Jan-2022,1,99110,1212,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546565,1,2-Jan-2022,21,99110,1401,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546566,1,2-Jan-2022,7,99110,1288,35.1,31-40,Clear,46,13.8,23,West,7,25.9,0,N,N,N,Jan,1,2022
546567,1,2-Jan-2022,3,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546568,1,2-Jan-2022,3,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546569,1,2-Jan-2022,19,87110,1217,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546570,1,2-Jan-2022,5,99110,1288,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546571,1,2-Jan-2022,4,99110,1336,37.9,31-40,Partly Cloudy,43,16.1,24.2,WSW,10,28.9,0,N,N,N,Jan,1,2022
546572,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546573,1,2-Jan-2022,21,147160,1288,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546574,1,2-Jan-2022,4,99110,1288,35.1,31-40,Clear,46,13.8,23,West,7,25.9,0,N,N,N,Jan,1,2022
546575,1,2-Jan-2022,1,132120,1301,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546576,1,2-Jan-2022,1,99110,1301,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546577,1,2-Jan-2022,3,99110,1217,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546578,1,2-Jan-2022,1,132120,1215,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546579,1,2-Jan-2022,1,99110,1288,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546580,1,2-Jan-2022,1,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546581,1,2-Jan-2022,19,132120,1402,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546582,1,2-Jan-2022,4,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546583,1,2-Jan-2022,1,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546584,1,2-Jan-2022,1,132120,1301,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546585,1,2-Jan-2022,3,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546586,1,2-Jan-2022,1,99110,1217,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546587,1,2-Jan-2022,11,132120,1401,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546588,1,2-Jan-2022,5,99110,1288,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546589,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546590,1,2-Jan-2022,4,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546591,1,2-Jan-2022,1,99110,1212,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546592,1,2-Jan-2022,3,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546593,1,2-Jan-2022,6,99110,1402,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546594,1,2-Jan-2022,4,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546595,1,2-Jan-2022,3,99110,1336,39,31-40,Scattered Clouds,39,17.3,28.8,West,10,29.9,0,N,N,N,Jan,1,2022
546596,1,2-Jan-2022,1,99110,1288,35.1,31-40,Clear,46,16.1,24.2,West,7,25.2,0,N,N,N,Jan,1,2022
546597,1,2-Jan-2022,6,87110,1288,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546598,1,2-Jan-2022,1,99110,1212,37.9,31-40,Overcast,43,15,29.9,WSW,10,29.2,0,N,N,N,Jan,1,2022
546599,1,2-Jan-2022,4,99110,1336,37.9,31-40,Overcast,43,15,29.9,WSW,10,29.2,0,N,N,N,Jan,1,2022
546600,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546601,1,2-Jan-2022,1,87110,1401,37.9,31-40,Overcast,43,15,29.9,WSW,10,29.2,0,N,N,N,Jan,1,2022
546602,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546603,1,2-Jan-2022,19,87110,1224,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546604,1,2-Jan-2022,1,99110,1288,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546605,1,2-Jan-2022,1,99110,1217,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546606,1,2-Jan-2022,1,99110,1222,37.9,31-40,Overcast,43,15,29.9,WSW,10,29.2,0,N,N,N,Jan,1,2022
546607,1,2-Jan-2022,4,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546608,1,2-Jan-2022,1,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546609,1,2-Jan-2022,1,99110,1217,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546610,1,2-Jan-2022,1,99110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546611,1,2-Jan-2022,5,99110,1288,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546612,1,2-Jan-2022,21,87110,1215,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546613,1,2-Jan-2022,4,132120,1224,36,31-40,Clear,44,17.3,28.8,West,7,26,0,N,N,N,Jan,1,2022
546614,1,2-Jan-2022,1,99110,1217,36,31-40,Clear,44,19.6,27.6,West,7,25.3,0,N,N,N,Jan,1,2022
546615,1,2-Jan-2022,4,99110,1336,39.9,31-40,Scattered Clouds,40,18.4,25.3,WSW,10,30.8,0,N,N,N,Jan,1,2022
546616,1,2-Jan-2022,1,99110,1288,36,31-40,Clear,44,19.6,27.6,West,7,25.3,0,N,N,N,Jan,1,2022
546617,1,2-Jan-2022,1,99110,1215,39.9,31-40,Scattered Clouds,40,18.4,25.3,WSW,10,30.8,0,N,N,N,Jan,1,2022
546618,1,2-Jan-2022,6,99110,1215,39.9,31-40,Scattered Clouds,40,18.4,25.3,WSW,10,30.8,0,N,N,N,Jan,1,2022
546619,1,2-Jan-2022,1,132120,1224,39.9,31-40,Scattered Clouds,40,18.4,25.3,WSW,10,30.8,0,N,N,N,Jan,1,2022
546620,1,2-Jan-2022,4,99110,1217,36,31-40,Clear,44,19.6,27.6,West,7,25.3,0,N,N,N,Jan,1,2022
546621,1,2-Jan-2022,4,99110,1288,36,31-40,Clear,44,19.6,27.6,West,7,25.3,0,N,N,N,Jan,1,2022
546622,1,2-Jan-2022,1,99110,1288,35.1,31-40,Clear,50,13.8,28.8,West,7,25.9,0,N,N,N,Jan,1,2022
546623,1,2-Jan-2022,4,132120,1215,39.9,31-40,Scattered Clouds,38,13.8,21.9,West,10,32.1,0,N,N,N,Jan,1,2022
546624,1,2-Jan-2022,3,87110,1336,39.9,31-40,Scattered Clouds,38,13.8,21.9,West,10,32.1,0,N,N,N,Jan,1,2022
546625,1,2-Jan-2022,11,99110,1402,39.9,31-40,Scattered Clouds,38,13.8,21.9,West,10,32.1,0,N,N,N,Jan,1,2022
546626,1,2-Jan-2022,5,87110,1336,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546627,1,2-Jan-2022,1,99110,1217,35.1,31-40,Clear,50,13.8,28.8,West,7,25.9,0,N,N,N,Jan,1,2022
546628,1,2-Jan-2022,1,99110,1336,39.9,31-40,Scattered Clouds,38,13.8,21.9,West,10,32.1,0,N,N,N,Jan,1,2022
546629,1,2-Jan-2022,4,99110,1402,39.9,31-40,Scattered Clouds,38,13.8,21.9,West,10,32.1,0,N,N,N,Jan,1,2022
546630,1,2-Jan-2022,1,99110,1224,35.1,31-40,Clear,50,13.8,28.8,West,7,25.9,0,N,N,N,Jan,1,2022
546631,1,2-Jan-2022,11,99110,1217,35.1,31-40,Clear,50,13.8,28.8,West,7,25.9,0,N,N,N,Jan,1,2022
546632,1,2-Jan-2022,4,99110,1288,35.1,31-40,Clear,50,13.8,28.8,West,7,25.9,0,N,N,N,Jan,1,2022
546633,1,2-Jan-2022,3,99110,1215,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546634,1,2-Jan-2022,1,99110,1217,36,31-40,Clear,43,21.9,35.7,West,7,24.7,0,N,N,N,Jan,1,2022
546635,1,2-Jan-2022,4,99110,1215,36,31-40,Clear,43,21.9,35.7,West,7,24.7,0,N,N,N,Jan,1,2022
546636,1,2-Jan-2022,1,99110,1301,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546637,1,2-Jan-2022,1,99110,1217,36,31-40,Clear,43,21.9,35.7,West,7,24.7,0,N,N,N,Jan,1,2022
546638,1,2-Jan-2022,1,132120,1212,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546639,1,2-Jan-2022,1,132120,1401,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546640,1,2-Jan-2022,3,132120,1212,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546641,1,2-Jan-2022,5,99110,1301,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546642,1,2-Jan-2022,1,132120,1224,36,31-40,Clear,43,21.9,35.7,West,7,24.7,0,N,N,N,Jan,1,2022
546643,1,2-Jan-2022,11,87110,1212,39,31-40,Partly Cloudy,41,13.8,19.6,WNW,10,31,0,N,N,N,Jan,1,2022
546644,1,2-Jan-2022,7,99110,1224,37.9,31-40,Partly Cloudy,41,16.1,21.9,WNW,10,28.9,0,N,N,N,Jan,1,2022
546645,1,2-Jan-2022,1,99110,1288,34,31-40,Clear,44,19.6,32.2,West,7,22.7,0,N,N,N,Jan,1,2022
546646,1,2-Jan-2022,1,132120,1224,34,31-40,Clear,44,19.6,32.2,West,7,22.7,0,N,N,N,Jan,1,2022
546647,1,2-Jan-2022,1,99110,1288,34,31-40,Clear,44,19.6,32.2,West,7,22.7,0,N,N,N,Jan,1,2022
546648,1,2-Jan-2022,6,99110,1288,34,31-40,Clear,44,19.6,32.2,West,7,22.7,0,N,N,N,Jan,1,2022
546649,1,2-Jan-2022,3,26151,1288,37.9,31-40,Partly Cloudy,41,16.1,21.9,WNW,10,28.9,0,N,N,N,Jan,1,2022
546650,1,2-Jan-2022,11,99110,1288,34,31-40,Clear,44,19.6,32.2,West,7,22.7,0,N,N,N,Jan,1,2022
546651,1,2-Jan-2022,18,87110,1401,37.9,31-40,Partly Cloudy,41,16.1,21.9,WNW,10,28.9,0,N,N,N,Jan,1,2022
546652,1,2-Jan-2022,1,99110,1288,32,31-40,Clear,48,24.2,36.8,West,7,18.9,0,N,N,N,Jan,1,2022
546653,1,2-Jan-2022,1,99110,1224,32,31-40,Clear,48,24.2,36.8,West,7,18.9,0,N,N,N,Jan,1,2022
546654,1,2-Jan-2022,1,99110,1288,30.9,31-40,Clear,47,19.6,28.8,West,7,18.7,0,N,N,N,Jan,1,2022
546655,1,2-Jan-2022,1,99110,1336,35.1,31-40,Partly Cloudy,42,11.5,24.2,West,10,26.9,0,N,N,N,Jan,1,2022
546656,1,2-Jan-2022,1,99110,1215,30.9,31-40,Clear,47,19.6,28.8,West,7,18.7,0,N,N,N,Jan,1,2022
546657,1,2-Jan-2022,3,132120,1224,35.1,31-40,Partly Cloudy,42,11.5,24.2,West,10,26.9,0,N,N,N,Jan,1,2022
546658,1,2-Jan-2022,7,87110,1402,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546659,1,2-Jan-2022,1,99110,1212,34,31-40,Partly Cloudy,44,11.5,,West,10,25.5,0,N,N,N,Jan,1,2022
546660,1,2-Jan-2022,1,99110,1401,34,31-40,Partly Cloudy,44,11.5,,West,10,25.5,0,N,N,N,Jan,1,2022
546661,1,2-Jan-2022,3,132120,1224,33.1,31-40,Scattered Clouds,46,10.4,,West,10,24.9,0,N,N,N,Jan,1,2022
546662,1,2-Jan-2022,1,99110,1401,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546663,1,2-Jan-2022,3,99110,1222,33.1,31-40,Scattered Clouds,43,12.7,21.9,West,10,23.9,0,N,N,N,Jan,1,2022
546664,1,2-Jan-2022,1,132120,1401,33.1,31-40,Scattered Clouds,43,12.7,21.9,West,10,23.9,0,N,N,N,Jan,1,2022
546665,1,2-Jan-2022,7,99110,1222,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546666,1,2-Jan-2022,1,99110,1222,,,Clear,,,,,7,,0,N,N,N,Jan,1,2022
546667,1,3-Jan-2022,4,132120,1301,27,21-30,Scattered Clouds,51,9.2,,North,10,18,0,N,N,N,Jan,1,2022
546668,1,3-Jan-2022,4,132120,1301,27,21-30,Scattered Clouds,51,9.2,,North,10,18,0,N,N,N,Jan,1,2022
